#genome	total_length	unique_name
G000015585	2678452	Halorhodospira halophila
G000015725	4643659	Methylibium petroleiphilum
G000015745	3608032	Geobacillus thermodenitrificans
G000015765	1804962	Methanocorpusculum labreanum
G000015825	2478101	Methanoculleus marisnigri
G000015865	3843301	Hungateiclostridium thermocellum
G000015945	1570485	Staphylothermus marinus
G000016065	4602594	Shewanella loihica
G000016085	1966858	Chlorobium phaeovibrioides
G000016165	3608104	Desulfotomaculum reducens
G000016185	4355543	Rhodospirillum centenum
G000016285	6321066	Agrobacterium vitis
G000016345	2159490	Polynucleobacter asymbioticus
G000016385	2121076	Pyrobaculum arsenaticum
G000016425	5183331	Salinispora tropica
G000016505	4023820	Clostridium kluyveri
G000016525	1853160	Methanobrevibacter smithii
G000016545	2970275	Caldicellulosiruptor saccharolyticus
G000016565	5072807	Pseudomonas mendocina
G000016585	4659220	Shewanella putrefaciens
G000016605	2191517	Metallosphaera sedula
G000016645	6096872	Flavobacterium johnsoniae
G000016745	5136364	Geobacter uraniireducens
G000016765	5915286	Sphingomonas wittichii
G000016785	1823511	Thermotoga petrophila
G000016825	1999618	Lactobacillus reuteri
G000016845	3275610	Brucella ovis
G000016905	1915238	Thermosipho melanesiensis
G000016985	4929566	Alkaliphilus metalliredigens
G000017005	2196662	Streptococcus gordonii
G000017105	2212957	Coxiella burnetii
G000017145	6817636	Sinorhizobium medicae
G000017165	1720048	Methanococcus vannielii
G000017185	1569500	Methanococcus aeolicus
G000017225	1772694	Methanococcus maripaludis
G000017245	2319663	Actinobacillus succinogenes
G000017265	4379251	Phenylobacterium zucineum
G000017305	4956712	Kineococcus radiotolerans
G000017405	5205877	Ochrobactrum anthropi
G000017425	4094179	Bacillus cytotoxicus
G000017445	1268201	Rickettsia rickettsii
G000017465	1971270	Campylobacter curvus
G000017545	1948941	Fervidobacterium nodosum
G000017565	3914745	Parvibaculum lavamentivorans
G000017585	1714971	Campylobacter hominis
G000017625	2542943	Methanoregula boonei
G000017645	5625118	Xanthobacter autotrophicus
G000017685	3951488	Leptospira biflexa
G000017705	6058417	Vibrio campbellii
G000017805	5723298	Roseiflexus castenholzii
G000017845	5460477	Crocosphaera subtropica
G000017865	2135342	Pseudothermotoga lettingae
G000017945	1297538	Ignicoccus hospitalis
G000018025	5517674	Shewanella sediminis
G000018045	4735397	Citrobacter koseri
G000018105	8361779	Acaryochloris marina
G000018145	4417968	Dinoroseobacter shibae
G000018205	1231060	Rickettsia akari
G000018265	5786361	Salinispora arenicola
G000018285	5174581	Shewanella pealeana
G000018305	2077567	Caldivirga maquilingensis
G000018325	3123558	Alkaliphilus oremlandii
G000018365	1847607	Thermococcus onnurineus
G000018405	3944167	Desulfococcus oleovorans
G000018465	1645259	Nitrosopumilus maritimus
G000018525	3312789	Brucella canis
G000018605	2169548	Petrotoga mobilis
G000018665	6767514	Delftia acidovorans
G000018685	4847594	Lachnoclostridium phytofermentans
G000018785	1496992	Acholeplasma laidlawii
G000018865	5258541	Chloroflexus aurantiacus
G000018885	3155250	Renibacterium salmoninarum
G000018945	1884562	Thermotoga neapolitana
G000019045	2846746	Anoxybacillus flavithermus
G000019085	2362816	Thermoanaerobacter pseudethanolicus
G000019165	3075407	Heliobacterium modesticaldum
G000019185	5226917	Shewanella halifaxensis
G000019205	1571681	Campylobacter lari
G000019225	4576573	Cellvibrio japonicus
G000019345	751679	Ureaplasma parvum
G000019405	2263857	Histophilus somni
G000019525	5935403	Shewanella woodyi
G000019585	5238555	Xanthomonas oryzae
G000019665	2287145	Methylacidiphilum infernorum
G000019685	1575201	Borrelia duttonii
G000019705	1242303	Borrelia recurrentis
G000019725	6899270	Methylobacterium radiotolerans
G000019745	1560469	Polynucleobacter necessarius
G000019785	4909403	Leptothrix cholodnii
G000019805	1769823	Pyrobaculum neutrophilum
G000019845	4418656	Beijerinckia indica
G000019905	3040826	Exiguobacterium sibiricum
G000019945	5849037	Methylorubrum populi
G000019965	5957605	Opitutus terrae
G000020005	3191493	Natranaerobius thermophilus
G000020025	9059291	Nostoc punctiforme
G000020045	8676622	Paraburkholderia phymatum
G000020125	8214698	Paraburkholderia phytofirmans
G000020145	1643562	Elusimicrobium minutum
G000020205	5325769	Ralstonia pickettii
G000020225	2664102	Akkermansia muciniphila
G000020305	1202435	Anaplasma marginale
G000020365	5657802	Desulfobacterium autotrophicum
G000020385	3994894	Geobacter lovleyi
G000020425	2832748	Bifidobacterium longum
G000020465	2763181	Chlorobium limicola
G000020485	2578146	Halothermothrix orenii
G000020505	2289249	Chlorobaculum parvum
G000020525	3293456	Chloroherpeton thalassium
G000020585	4480937	Alteromonas mediterranea
G000020605	3449685	[Eubacterium] rectale
G000020625	2579715	Prosthecochloris aestuarii
G000020645	3018238	Pelodictyon phaeoclathratiforme
G000020685	3855389	Deinococcus deserti
G000020725	4615150	Geobacter bemidjiensis
G000020865	3804186	Edwardsiella tarda
G000020945	1424912	Coprothermobacter proteolyticus
G000020965	1959987	Dictyoglomus thermophilum
G000020985	2003803	Thermodesulfovibrio yellowstonii
G000021025	3169329	Laribacter hongkongensis
G000021045	5365318	Azotobacter vinelandii
G000021265	874478	Ureaplasma urealyticum
G000021285	2016657	Thermosipho africanus
G000021325	3914967	Gluconacetobacter diazotrophicus
G000021485	2982397	Acidithiobacillus ferrooxidans
G000021545	1640877	Sulfurihydrogenibium azorense
G000021565	1983986	Persephonella marina
G000021645	1855560	Dictyoglomus turgidum
G000021685	2920764	Thermomicrobium roseum
G000021725	1676444	Nautilia profundicola
G000021745	4305430	Methylocella silvestris
G000021805	4787754	Rippkaea orientalis
G000021825	6554289	Gloeothece citriformis
G000021865	3871940	Rhodobacter capsulatus
G000021885	2269156	Glaesserella parasuis
G000021905	6517073	Desulfatibacillum aliphaticivorans
G000021925	5279134	Desulfitobacterium hafniense
G000021945	4684931	Chloroflexus aggregans
G000021965	2922917	Methanosphaerula palustris
G000021985	3464554	Thioalkalivibrio sulfidiphilus
G000022005	4042929	Caulobacter vibrioides
G000022025	4980910	Pseudarthrobacter chlorophenolicus
G000022065	4068724	Ruminiclostridium cellulolyticum
G000022085	8839162	Methylobacterium nodulans
G000022145	5029329	Anaeromyxobacter dehalogenans
G000022205	3692616	Halorubrum lacusprofundi
G000022265	4304501	Geobacter daltonii
G000022325	2931702	Caldicellulosiruptor bescii
G000022365	2045438	Thermococcus gammatolerans
G000022385	2736272	Sulfolobus islandicus
G000022525	879977	Neorickettsia risticii
G000022545	1845800	Thermococcus sibiricus
G000022565	4127356	Acidobacterium capsulatum
G000022725	2369540	Bartonella grahamii
G000022745	3337389	Brucella microti
G000022885	3812301	Edwardsiella ictaluri
G000022905	2819246	Corynebacterium aurimucosum
G000023025	5193164	Teredinibacter turnerae
G000023065	3471292	Tolumonas auensis
G000023105	4669183	Beutenbergia cavernae
G000023125	6967790	Dyadobacter fermentans
G000023145	2446804	Corynebacterium kroppenstedtii
G000023205	2501097	Micrococcus luteus
G000023225	3942657	Desulfomicrobium baculatum
G000023245	8248144	Actinosynnema mirum
G000023265	2158157	Acidimicrobium ferrooxidans
G000023285	2612925	Capnocytophaga ochracea
G000023325	2302126	Kosmotoga olearia
G000023345	6755017	Variovorax paradoxus
G000023405	3614992	Brachybacterium faecium
G000023445	4289847	Desulfovibrio salexigens
G000023465	5128187	Zunongwangia profunda
G000023545	4679450	Dickeya paradisiaca
G000023565	4813854	Dickeya chrysanthemi
G000023605	4862913	Pectobacterium carotovorum
G000023705	2547570	Methylotenera mobilis
G000023745	3082047	Methylovorus glucosotrophus
G000023785	3540134	Hirschia baltica
G000023825	5167383	Pedobacter heparinus
G000023845	1617804	Cryptobacterium curtum
G000023865	4308349	Saccharomonospora viridis
G000023885	3165038	Slackia heliotrinireducens
G000023905	2465610	Leptotrichia buccalis
G000023925	2785024	Kytococcus sedentarius
G000023945	3116795	Halorhabdus utahensis
G000023965	3332369	Halomicrobium mukohataei
G000023985	1507271	Methanocaldococcus fervens
G000024005	9127347	Chitinophaga pinensis
G000024025	10467782	Catenulispora acidiphila
G000024065	2749646	Jonesia denitrificans
G000024085	2852073	Kangiella koreensis
G000024105	1998653	Anaerococcus prevotii
G000024125	3530383	Robiginitalea biformata
G000024185	2937203	Methanobrevibacter ruminantium
G000024205	4545624	Desulfofarcimen acetoxidans
G000024225	1543805	Atopobium parvulum
G000024265	3632260	Eggerthella lenta
G000024285	3205746	Alicyclobacillus acidocaldarius
G000024325	2909587	Desulfohalobium retbaense
G000024345	7579488	Kribbella flavida
G000024365	6060298	Nakamurella multipartita
G000024385	5639016	Thermomonospora curvata
G000024405	4486690	Sebaldella termitidis
G000024425	3097457	Meiothermus ruber
G000024505	1206806	Anaplasma centrale
G000024545	6841557	Stackebrandtia nassauensis
G000024565	1673300	Streptobacillus moniliformis
G000024605	2157087	Ammonifex degensii
G000024625	1761777	Methanocaldococcus vulcanius
G000024725	4145280	Nitrosococcus halophilus
G000024765	2582886	Halothiobacillus neapolitanus
G000024785	5290032	Gordonia bronchialis
G000024805	9446314	Haliangium ochraceum
G000024825	5089045	Vibrio antiquarius
G000024845	3386757	Rhodothermus marinus
G000024865	10369538	Streptosporangium roseum
G000024885	2306351	Sulfurospirillum deleyianum
G000024905	1848474	Thermanaerovibrio acidaminovorans
G000024925	4253413	Sanguibacter keddieii
G000024945	2132142	Veillonella parvula
G000024965	3831400	Xylanimonas cellulosilytica
G000024985	3993784	Sphaerobacter thermophilus
G000025005	3101601	Thermobaculum terrenum
G000025085	2658366	Staphylococcus lugdunensis
G000025105	1809823	Thermotoga naphthophila
G000025185	6196199	Pirellula staleyi
G000025225	1809746	Mageeibacillus indolicus
G000025265	6359369	Conexibacter woesei
G000025285	1563443	Archaeoglobus profundus
G000025305	2329769	Acidaminococcus fermentans
G000025325	5440902	Haloterrigena turkmenica
G000025345	5322497	Geodermatophilus obscurus
G000025485	3669114	Allochromatium vinosum
G000025505	2196266	Ferroglobus placidus
G000025565	5598836	Enterobacter cloacae
G000025605	1500577	Thermocrinis albus
G000025625	4443703	Natrialba magadii
G000025645	2451061	Thermoanaerobacter italicus
G000025665	1486778	Aciduliprofundum boonei
G000025685	4012980	Haloferax volcanii
G000025705	3003656	Sideroxydans lithotrophicus
G000025725	3222077	Denitrovibrio acetiphilus
G000025845	934379	Mycoplasma crocodyli
G000025865	2012424	Methanohalophilus mahii
G000025885	1980592	Aminobacterium colombiense
G000025905	3750771	Coraliomargarita akajimensis
G000025925	3619559	Prevotella ruminicola
G000025945	3659674	Desulfotalea psychrophila
G000025965	4727295	Aromatoleum aromaticum
G000025985	5241720	Bacteroides fragilis
G000026005	1516355	Ehrlichia ruminantium
G000026045	2749736	Natronomonas pharaonis
G000026105	5888780	Pseudomonas entomophila
G000026125	3424307	Herminiimonas arsenicoxydans
G000026185	4067964	Erwinia tasmaniensis
G000026225	4643881	Escherichia fergusonii
G000026365	9764755	Zygosaccharomyces rouxii
G000026405	1896694	Leuconostoc citreum
G000026505	3010111	Lactobacillus rhamnosus
G000026605	2149868	Streptococcus equi
G000026945	14618562	Candida dubliniensis
G000027005	9216438	Komagataella phaffii
G000027065	4599152	Cronobacter turicensis
G000027085	5444343	Citrobacter rodentium
G000027145	2797636	Listeria seeligeri
G000027225	4225498	Xenorhabdus bovienii
G000027265	4072926	Erwinia pyrifoliae
G000027325	580076	Mycoplasma genitalium
G000046685	1581384	Bartonella quintana
G000046705	1931047	Bartonella henselae
G000046845	3598621	Acinetobacter baylyi
G000054005	3278327	Brucella abortus
G000055785	3696649	Chromohalobacter salexigens
G000055945	1719074	Lawsonia intracellularis
G000056065	1864998	Lactobacillus delbrueckii
G000058485	7497934	Frankia alni
G000060285	2814130	Listeria welshimeri
G000060345	3798465	Gramella forsetii
G000062885	8212805	Saccharopolyspora erythraea
G000063445	3179916	Methanocella arvoryzae
G000063545	2127051	Orientia tsutsugamushi
G000063605	877438	Mycoplasma agalactiae
G000067165	13033779	Sorangium cellulosum
G000067205	5287950	Bordetella petrii
G000069225	3403826	Clavibacter michiganensis
G000069785	6476562	Cupriavidus taiwanensis
G000069945	2369219	Corynebacterium urealyticum
G000069965	4099915	Proteus mirabilis
G000070465	3732255	Bordetella avium
G000072485	4851126	Stenotrophomonas maltophilia
G000073005	1482455	Wolbachia endosymbiont of Culex quinquefasciatus
G000085865	665445	Mycoplasma hominis
G000087965	3852359	Xanthomonas albilineans
G000091025	9119452	Eremothecium gossypii
G000091045	19052182	Cryptococcus neoformans
G000091125	4424942	Sphingobium japonicum
G000091225	2497719	Encephalitozoon cuniculi
G000091305	10148695	Streptomyces scabiei
G000091325	4962103	Shewanella violacea
G000091545	2116096	Thermus thermophilus
G000091565	3833852	Erwinia amylovora
G000091665	1739967	Methanocaldococcus jannaschii
G000091765	2043161	Lactobacillus crispatus
G000091785	4149178	Legionella longbeachae
G000092025	5674318	Agrobacterium fabrum
G000092045	6530348	Rhizobium etli
G000092105	5460105	Planctopirus limnophila
G000092125	3721709	Meiothermus silvanus
G000092185	1316595	Thermosphaera aggregans
G000092205	3097763	Desulfurivibrio alkaliphilus
G000092225	4479744	Tsukamurella paurometabola
G000092245	3192235	Arcobacter nitrofigilis
G000092265	1863286	Moraxella catarrhalis
G000092285	4655622	Caulobacter segnis
G000092305	1328194	Methanocaldococcus infernus
G000092365	1986154	Arcanobacterium haemolyticum
G000092385	11936683	Streptomyces bingchenggensis
G000092405	2405559	Syntrophothermus lipocalidus
G000092425	3260398	Truepera radiovictrix
G000092465	1580347	Staphylothermus hellenicus
G000092505	2101887	Leuconostoc kimchii
G000092585	1012800	Mycoplasma gallisepticum
G000092645	4189976	Thermobispora bispora
G000092785	2131925	Waddlia chondrophila
G000092825	3157527	Segniliparus rotundus
G000092845	3241804	Brachyspira murdochii
G000092865	4123179	Cellulomonas flavigena
G000092905	3384766	Kyrpidia tusciae
G000092925	4765023	Starkeya novella
G000092965	2306092	Thermoanaerobacter mathranii
G000092985	6543332	Nocardiopsis dassonvillei
G000093025	3059871	Methylotenera versatilis
G000093085	3592487	[Bacillus] selenitireducens
G000093145	5373644	Comamonas thiooxydans
G000142805	10393002	Lachancea thermotolerans
G000142905	28683227	Thecamonas trahens
G000142945	228641905	Phytophthora infestans
G000143085	3373326	Nitrosococcus watsonii
G000143105	29799766	Grosmannia clavigera
G000143145	3638969	Hyphomicrobium denitrificans
G000143165	1686510	Dehalogenimonas lykanthroporepellens
G000143185	38482726	Schizophyllum commune
G000143365	34887659	Chaetomium globosum
G000143535	42630406	Botrytis cinerea
G000143565	64890724	Laccaria bicolor
G000143685	4630065	Clostridium ljungdahlii
G000143765	5093712	Sphingobacterium spiritivorum
G000143825	2349953	Corynebacterium genitalium
G000143845	2051896	Olsenella uli
G000143865	1193808	Mycoplasma mycoides
G000143965	3655731	Desulfarculus baarsii
G000143985	4653970	Sediminispirochaeta smaragdinae
G000144405	3168302	Prevotella melaninogenica
G000144605	3445263	Brevundimonas subvibrioides
G000144625	4662871	Lacrimispora saccharolytica
G000144645	2280035	Thermosediminibacter oceani
G000144675	2337250	Corynebacterium pseudotuberculosis
G000144695	2469596	Acetohalobium arabaticum
G000144915	1496453	Acidilobus saccharovorans
G000145035	4404946	Butyrivibrio proteoclasticus
G000145215	2532343	Caldicellulosiruptor obsidiansis
G000145235	7025559	Micromonospora aurantiaca
G000145255	3162471	Gallionella capsiferriformans
G000145275	5262222	Clostridium cellulovorans
G000145295	1639155	Methanothermobacter marburgensis
G000145615	2785752	Thermoanaerobacterium thermosaccharolyticum
G000145635	43778984	Gaeumannomyces tritici
G000146025	1148630	uncultured Termite group 1 bacterium
G000146045	12157425	Saccharomyces cerevisiae
G000146165	5131444	Shewanella oneidensis
G000146185	2831429	Lachnospira eligens
G000146345	2125144	Peptoniphilus duerdenii
G000146465	2217098	Encephalitozoon intestinalis
G000146505	3843004	Fibrobacter succinogenes
G000146675	2559558	Prevotella marshii
G000146915	37216127	Parastagonospora nodorum
G000146945	38459884	Sclerotinia sclerotiorum
G000147335	7842068	Gloeothece verrucosa
G000147355	2153198	Sulfurimonas autotrophica
G000147675	1989504	Peptostreptococcus stomatis
G000147695	2785056	Thermoanaerobacter wiegelii
G000147715	2975973	Mesotoga prima
G000147835	4573261	Sphingobium chlorophenolicum
G000147875	2843290	Methanolacinia petrolearia
G000148385	2374137	Vulcanisaeta distributa
G000148645	4279159	Ferrimonas balearica
G000149035	51657367	Colletotrichum graminicola
G000149205	30277769	Aspergillus nidulans
G000149335	29016139	Coccidioides immitis
G000149405	32438625	Thalassiosira pseudonana
G000149425	10610114	Meyerozyma guilliermondii
G000149555	41845334	Fusarium verticillioides
G000149585	33035906	Histoplasma capsulatum
G000149615	29364542	Aspergillus terreus
G000149645	31778757	Aspergillus fischeri
G000149685	15547812	Lodderomyces elongisporus
G000149755	82599261	Phytophthora sojae
G000149845	11733774	Schizosaccharomyces japonicus
G000149925	88732216	Puccinia graminis
G000149955	61388614	Fusarium oxysporum
G000149985	37998405	Pyrenophora tritici-repentis
G000150035	14680191	Vanderwaltozyma polyspora
G000150505	11634553	Schizosaccharomyces octosporus
G000150675	33901404	Verticillium dahliae
G000150705	32927428	Paracoccidioides lutzii
G000150735	29953660	Paracoccidioides brasiliensis
G000150825	32863508	Verticillium alfalfae
G000150955	27452464	Phaeodactylum tricornutum
G000150975	23273302	Nannizzia gypsea
G000151105	2064257	Thermococcus barophilus
G000151125	22225500	Trichophyton benhamiae
G000151145	23263411	Microsporum canis
G000151335	27014492	Coccidioides posadasii
G000151355	51290657	[Nectria] haematococca
G000151425	22530713	Trichophyton rubrum
G000151505	22551407	Trichophyton verrucosum
G000151545	53160464	Saprolegnia parasitica
G000151645	124953642	Tuber melanosporum
G000151665	18818305	Blastocystis hominis
G000152145	4373195	Oscillochloris trichoides
G000152245	4316707	Eubacterium callanderi
G000152265	1935211	Ferroplasma acidarmanus
G000152625	3676304	Roseovarius nubinhibens
