#genome	domain	phylum	class	order	family	genus	species	total_length	unique_name
G000005825	Bacteria	 Firmicutes	 Bacilli	 Bacillales_H	 Bacillaceae_D	 Bacillus_S	 Bacillus_S pseudofirmus	4249288	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_S; s__Bacillus_S pseudofirmus
G000007005	Archaea	 Thermoproteota	 Thermoproteia	 Sulfolobales	 Sulfolobaceae	 Saccharolobus	 Saccharolobus solfataricus	2992245	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__Saccharolobus solfataricus
G000007025	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsia	 Rickettsia rickettsii	1268755	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia rickettsii
G000007085	Bacteria	 Firmicutes_A	 Thermoanaerobacteria	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Caldanaerobacter	 Caldanaerobacter subterraneus	2689445	d__Bacteria; p__Firmicutes_A; c__Thermoanaerobacteria; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Caldanaerobacter; s__Caldanaerobacter subterraneus
G000007105	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Zymomonas	 Zymomonas mobilis	2056363	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas mobilis
G000007145	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	 Xanthomonas campestris	5076188	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas; s__Xanthomonas campestris
G000007185	Archaea	 Methanobacteriota_A	 Methanopyri	 Methanopyrales	 Methanopyraceae	 Methanopyrus	 Methanopyrus kandleri	1694969	d__Archaea; p__Methanobacteriota_A; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__Methanopyrus kandleri
G000007205	Bacteria	 Chlamydiota	 Chlamydiia	 Chlamydiales	 Chlamydiaceae	 Chlamydophila	 Chlamydophila pneumoniae	1225935	d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales; f__Chlamydiaceae; g__Chlamydophila; s__Chlamydophila pneumoniae
G000007225	Archaea	 Thermoproteota	 Thermoproteia	 Thermoproteales	 Thermoproteaceae	 Pyrobaculum	 Pyrobaculum aerophilum	2222430	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__Pyrobaculum aerophilum
G000007265	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus agalactiae	2160267	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus agalactiae
G000007305	Archaea	 Methanobacteriota_B	 Thermococci	 Thermococcales	 Thermococcaceae	 Pyrococcus	 Pyrococcus furiosus	1908256	d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__Pyrococcus furiosus
G000007325	Bacteria	 Fusobacteriota	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 Fusobacterium nucleatum	2174500	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Fusobacterium nucleatum
G000007345	Archaea	 Halobacteriota	 Methanosarcinia	 Methanosarcinales	 Methanosarcinaceae	 Methanosarcina	 Methanosarcina acetivorans	5751492	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina acetivorans
G000007365	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales_A	 Enterobacteriaceae_A	 Buchnera	 Buchnera aphidicola_O	641454	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A; f__Enterobacteriaceae_A; g__Buchnera; s__Buchnera aphidicola_O
G000007385	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	 Xanthomonas oryzae	4941439	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas; s__Xanthomonas oryzae
G000007465	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus mutans	2032925	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans
G000007485	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Microbacteriaceae	 Tropheryma	 Tropheryma whipplei	927303	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Tropheryma; s__Tropheryma whipplei
G000007525	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium longum	2260286	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium longum
G000007565	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas_E	 Pseudomonas_E hunanensis	6181873	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas_E; s__Pseudomonas_E hunanensis
G000007605	Bacteria	 Chlamydiota	 Chlamydiia	 Chlamydiales	 Chlamydiaceae	 Chlamydophila	 Chlamydophila caviae	1181376	d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales; f__Chlamydiaceae; g__Chlamydophila; s__Chlamydophila caviae
G000007625	Bacteria	 Firmicutes_A	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_G	 Clostridium_G tetani	2873353	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_G; s__Clostridium_G tetani
G000007645	Bacteria	 Firmicutes	 Bacilli	 Staphylococcales	 Staphylococcaceae	 Staphylococcus	 Staphylococcus epidermidis	2564735	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis
G000007705	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chromobacteriaceae	 Chromobacterium	 Chromobacterium violaceum	4751080	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chromobacteriaceae; g__Chromobacterium; s__Chromobacterium violaceum
G000007725	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales_A	 Enterobacteriaceae_A	 Buchnera	 Buchnera aphidicola_H	618399	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A; f__Enterobacteriaceae_A; g__Buchnera; s__Buchnera aphidicola_H
G000007745	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Pasteurellaceae	 Basfia	 Basfia succiniciproducens	2314078	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Basfia; s__Basfia succiniciproducens
G000007765	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Coxiellales	 Coxiellaceae	 Coxiella	 Coxiella burnetii	2032827	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella; s__Coxiella burnetii
G000007785	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus faecalis	3360034	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus faecalis
G000007805	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas_E	 Pseudomonas_E avellanae	6538300	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas_E; s__Pseudomonas_E avellanae
G000007825	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_G	 Bacillus_A	 Bacillus_A cereus	5427103	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A cereus
G000007845	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_G	 Bacillus_A	 Bacillus_A anthracis	5227293	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A anthracis
G000007865	Bacteria	 Actinobacteriota	 Actinomycetia	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium avium	4829781	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__Mycobacterium avium
G000007905	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter_C	 Helicobacter_C hepaticus	1799146	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter_C; s__Helicobacter_C hepaticus
G000007925	Bacteria	 Cyanobacteria	 Cyanobacteriia	 PCC-6307	 Cyanobiaceae	 Prochlorococcus	 Prochlorococcus marinus	1751080	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Prochlorococcus; s__Prochlorococcus marinus
G000007945	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Pasteurellaceae	 Haemophilus_B	 Haemophilus_B ducreyi	1698955	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Haemophilus_B; s__Haemophilus_B ducreyi
G000007985	Bacteria	 Desulfobacterota	 Desulfuromonadia	 Geobacterales	 Geobacteraceae	 Geobacter	 Geobacter sulfurreducens	3814128	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Geobacter; s__Geobacter sulfurreducens
G000008025	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Anaplasmataceae	 Wolbachia	 Wolbachia pipientis	1267782	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae; g__Wolbachia; s__Wolbachia pipientis
G000008045	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsia	 Rickettsia typhi	1111496	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia typhi
G000008165	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_G	 Bacillus_A	 Bacillus_A anthracis	5228663	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A anthracis
G000008185	Bacteria	 Spirochaetota	 Spirochaetia	 Treponematales	 Treponemataceae	 Treponema_B	 Treponema_B denticola	2843201	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Treponematales; f__Treponemataceae; g__Treponema_B; s__Treponema_B denticola
G000008245	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Metamycoplasmataceae	 Mycoplasmopsis_A	 Mycoplasmopsis_A synoviae	799476	d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae; g__Mycoplasmopsis_A; s__Mycoplasmopsis_A synoviae
G000008265	Archaea	 Thermoplasmatota	 Thermoplasmata	 Thermoplasmatales	 Thermoplasmataceae	 Picrophilus	 Picrophilus oshimae	1545895	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmatales; f__Thermoplasmataceae; g__Picrophilus; s__Picrophilus oshimae
G000008325	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Methylococcales	 Methylococcaceae	 Methylococcus	 Methylococcus capsulatus	3304561	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__Methylococcus capsulatus
G000008345	Bacteria	 Actinobacteriota	 Actinomycetia	 Propionibacteriales	 Propionibacteriaceae	 Cutibacterium	 Cutibacterium acnes	2560265	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium acnes
G000008365	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Metamycoplasmataceae	 Mycoplasma_J	 Mycoplasma_J mobile	777079	d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae; g__Mycoplasma_J; s__Mycoplasma_J mobile
G000008385	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Anaplasmataceae	 Wolbachia	 Wolbachia sp000008385	1080084	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae; g__Wolbachia; s__Wolbachia sp000008385
G000008465	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Alteromonadaceae	 Idiomarina	 Idiomarina loihiensis	2839318	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Alteromonadaceae; g__Idiomarina; s__Idiomarina loihiensis
G000008505	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_G	 Bacillus_A	 Bacillus_A anthracis	5314814	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A anthracis
G000008525	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter	 	1667867	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__
G000008545	Bacteria	 Thermotogota	 Thermotogae	 Thermotogales	 Thermotogaceae	 Thermotoga	 Thermotoga maritima	1860725	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales; f__Thermotogaceae; g__Thermotoga; s__Thermotoga maritima
G000008565	Bacteria	 Deinococcota	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	 Deinococcus radiodurans	3284216	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus radiodurans
G000008605	Bacteria	 Spirochaetota	 Spirochaetia	 Treponematales	 Treponemataceae	 Treponema	 Treponema pallidum	1138011	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Treponematales; f__Treponemataceae; g__Treponema; s__Treponema pallidum
G000008625	Bacteria	 Aquificota	 Aquificae	 Aquificales	 Aquificaceae	 Aquifex	 Aquifex aeolicus	1590811	d__Bacteria; p__Aquificota; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__Aquifex aeolicus
G000008645	Archaea	 Methanobacteriota	 Methanobacteria	 Methanobacteriales	 Methanothermobacteraceae	 Methanothermobacter	 Methanothermobacter thermautotrophicus	1751377	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanothermobacteraceae; g__Methanothermobacter; s__Methanothermobacter thermautotrophicus
G000008665	Archaea	 Halobacteriota	 Archaeoglobi	 Archaeoglobales	 Archaeoglobaceae	 Archaeoglobus	 Archaeoglobus fulgidus	2178400	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__Archaeoglobus fulgidus
G000008725	Bacteria	 Chlamydiota	 Chlamydiia	 Chlamydiales	 Chlamydiaceae	 Chlamydia	 Chlamydia trachomatis	1042519	d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales; f__Chlamydiaceae; g__Chlamydia; s__Chlamydia trachomatis
G000008745	Bacteria	 Chlamydiota	 Chlamydiia	 Chlamydiales	 Chlamydiaceae	 Chlamydophila	 Chlamydophila pneumoniae	1230230	d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales; f__Chlamydiaceae; g__Chlamydophila; s__Chlamydophila pneumoniae
G000008765	Bacteria	 Firmicutes_A	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_S	 Clostridium_S acetobutylicum	4132900	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_S; s__Clostridium_S acetobutylicum
G000008805	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Neisseriaceae	 Neisseria	 Neisseria meningitidis	2272360	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria; s__Neisseria meningitidis
G000008865	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli	5594645	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli
G000008885	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales_A	 Enterobacteriaceae_A	 Wigglesworthia	 Wigglesworthia glossinidia_A	703024	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A; f__Enterobacteriaceae_A; g__Wigglesworthia; s__Wigglesworthia glossinidia_A
G000008925	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Ligilactobacillus	 Ligilactobacillus salivarius	2134037	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Ligilactobacillus; s__Ligilactobacillus salivarius
G000009025	Bacteria	 Chloroflexota	 Dehalococcoidia	 Dehalococcoidales	 Dehalococcoidaceae	 Dehalococcoides	 Dehalococcoides mccartyi_B	1395502	d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Dehalococcoidales; f__Dehalococcoidaceae; g__Dehalococcoides; s__Dehalococcoides mccartyi_B
G000009065	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Yersinia	 Yersinia pestis	4829915	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Yersinia; s__Yersinia pestis
G000009125	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Ralstonia	 Ralstonia pseudosolanacearum	5810942	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__Ralstonia pseudosolanacearum
G000009145	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Nitrosomonadaceae	 Nitrosomonas	 Nitrosomonas europaea	2812094	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas europaea
G000009185	Archaea	 Halobacteriota	 Halobacteria	 Halobacteriales	 Haloferacaceae	 Haloquadratum	 Haloquadratum walsbyi	3179381	d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Haloferacaceae; g__Haloquadratum; s__Haloquadratum walsbyi
G000009205	Bacteria	 Firmicutes_A	 Clostridia	 Peptostreptococcales	 Peptostreptococcaceae	 Clostridioides	 Clostridioides difficile	4298153	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Clostridioides; s__Clostridioides difficile
G000009245	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Francisellales	 Francisellaceae	 Francisella	 Francisella tularensis	1895994	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Francisellales; f__Francisellaceae; g__Francisella; s__Francisella tularensis
G000009305	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter	 Helicobacter acinonychis	1557608	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter acinonychis
G000009345	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Yersinia	 Yersinia enterocolitica	4683640	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Yersinia; s__Yersinia enterocolitica
G000009365	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Alcanivoracaceae	 Alcanivorax	 Alcanivorax borkumensis	3120143	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax borkumensis
G000009545	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus uberis	1852352	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus uberis
G000009705	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Cyanobacteriales	 Nostocaceae	 Trichormus	 Trichormus sp000009705	7211909	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Trichormus; s__Trichormus sp000009705
G000009725	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Cyanobacteriales	 Microcystaceae_A	 Synechocystis	 Synechocystis sp000284455	3947099	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcystaceae_A; g__Synechocystis; s__Synechocystis sp000284455
G000009745	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Vibrionaceae	 Vibrio	 Vibrio vulnificus	5260126	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Vibrionaceae; g__Vibrio; s__Vibrio vulnificus
G000009765	Bacteria	 Actinobacteriota	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces avermitilis	9119915	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__Streptomyces avermitilis
G000009825	Bacteria	 Firmicutes	 Bacilli	 Bacillales_H	 Bacillaceae_D	 Bacillus_H	 Bacillus_H rhizosphaerae	4303871	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_H; s__Bacillus_H rhizosphaerae
G000009845	Bacteria	 Firmicutes	 Bacilli	 Acholeplasmatales	 Acholeplasmataceae	 Phytoplasma	 Phytoplasma sp000009845	853092	d__Bacteria; p__Firmicutes; c__Bacilli; o__Acholeplasmatales; f__Acholeplasmataceae; g__Phytoplasma; s__Phytoplasma sp000009845
G000009865	Bacteria	 Firmicutes	 Bacilli	 Staphylococcales	 Staphylococcaceae	 Staphylococcus	 	2697921	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__
G000009905	Bacteria	 Firmicutes_E	 Symbiobacteriia	 Symbiobacteriales	 Symbiobacteriaceae	 Symbiobacterium	 Symbiobacterium thermophilum	3566135	d__Bacteria; p__Firmicutes_E; c__Symbiobacteriia; o__Symbiobacteriales; f__Symbiobacteriaceae; g__Symbiobacterium; s__Symbiobacterium thermophilum
G000009925	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides fragilis	5311010	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides fragilis
