taxid	total_length
1074118	1776899
1761879	6000000
1121481	6000000
488538	2753527
887898	3151925
927083	6000000
1618696	1151890
1802696	698125
1617425	904903
1817736	534146
95618	4165754
1869304	2929617
1001994	1607695
43657	6000000
161398	4868993
980254	6000000
1206095	5069061
690567	2944717
1817747	1369768
1324352	4633632
880526	2880076
1207058	3310973
1797648	3822990
1288483	1878090
1797457	1173037
1618921	670290
1802075	710819
1802480	967855
1444711	2956128
935298	2335323
404216	4720694
1869302	2653970
1801829	1200785
1267211	3219312
1339234	3013087
525898	2306351
868864	1541968
1797843	1549187
1123511	4134382
1304865	4495232
1348908	4369029
1293586	2432793
372461	422434
37329	6000000
1266925	3210113
274854	2064136
1112252	1172197
1380386	6000000
255470	1395502
1122920	6000000
1618829	845893
1078013	4583671
256701	3918424
65393	6000000
445932	1643562
1671629	2563040
1736539	3839507
1288082	6000000
681645	2328208
1263026	1495863
1218493	2118378
343232	1727679
1167631	1808452
755934	4340671
1225179	1587646
1206735	6000000
1671625	2153167
572265	2169363
1618703	1028436
314282	3052410
502025	6000000
316067	4304501
1797391	2056811
1618452	678048
999386	5530232
1173020	6000000
509191	6000000
1797459	1019502
1123365	4746254
1802566	1512343
1935137	932589
1802641	918752
1736584	3692460
1193182	4264973
1211819	3811476
1469557	4017534
1802203	866573
1802061	1258557
1672219	3765436
1910958	1791665
981333	2912642
1508644	1654902
1918503	1930657
1046599	2286440
1484460	3633537
1618841	648285
1122191	4853010
1427331	1390379
1842520	1328125
1499498	1707342
54911	6000000
1429888	1874188
1531962	3976663
879274	6000000
1220574	4915471
564415	6000000
1307761	3782798
1802192	1474773
336829	5214558
1414719	2472125
1520816	2673997
1996	6000000
657324	3164379
2423	2237377
1811636	2256676
500633	2479772
1151410	4323423
66377	6000000
392484	2589653
1811586	1009131
764298	1916985
683125	3844399
1802129	815215
604330	4088838
641524	6000000
492774	6000000
1050174	2692072
1608628	3969942
1210067	6000000
1298885	1043508
1121438	5128906
1852373	1671491
1445607	5365278
1203622	2317860
1170562	6000000
1618995	1164937
335543	4990251
1640508	2479665
1123288	5383666
1618983	915262
1797385	3543862
1423798	6000000
1306947	1074689
1038858	5817514
1665555	3005869
86666	3155619
551996	6000000
1798347	655062
1802551	606270
1423726	3133992
285473	6000000
1403935	1490671
927661	6000000
330214	4317083
720554	4897678
405671	5755101
584657	4804251
1607817	822563
564137	4250016
1632865	6000000
478749	4548960
1801926	1012902
1802315	754352
1085624	6000000
713586	3746647
1742858	3874551
1394710	878109
1801809	719911
742743	2499879
1735325	3139690
1200547	3352525
1619088	670421
863239	3106595
1802190	3543039
1423765	2746576
69499	1804169
1805317	651172
282199	2888349
868131	2546541
1449080	2160855
1802490	1022316
1805163	776045
1797675	2850011
529	4375952
937772	3017625
1799789	5221450
926559	4508243
1608419	2209101
866790	1731018
1766620	2292855
638301	1947166
1802281	725510
525245	1723843
1798447	2176693
1571877	5043991
1122611	6000000
1202768	4350898
1673717	3511751
1410667	3473679
1802418	1123060
1849261	2549736
1550091	5316652
1801797	525811
1658455	2198204
472695	4548084
172713	6000000
121292	5056151
1855373	3785360
39841	2808342
342949	1861320
1227485	3328860
2287	6000000
531844	2768102
1752217	4111525
1618565	814831
225324	2855818
1860100	3329516
273526	5113802
177413	4505084
755872	4552418
1802702	1022463
686578	4796529
1117320	3998432
317025	2427734
312540	1731076
1674905	5652140
1799661	1462098
411466	2393958
368407	2478101
1034944	3374751
266264	6000000
1313292	1730484
1674868	2309944
38300	6000000
700015	2115681
754476	3137191
1671649	1395177
1268236	4236171
262316	4829781
1380385	6000000
1797319	4766345
45065	2545646
1817848	821058
1797264	823887
1802662	584846
423471	5890504
1801904	1239484
476281	754729
190304	2174500
1801810	733573
1184267	2657893
1619135	782405
1408431	3880043
279113	5730025
1283283	5104726
1807	5710643
1046970	1947828
391165	2708355
1094564	1956558
351581	1894157
1643674	1015675
1801909	1084986
406984	1248550
1218358	1179818
1276258	1160554
1736445	4265935
585503	2054993
1123244	6000000
1262954	2474598
1658109	3594189
1802298	918591
883152	4070988
1801630	3087928
1120958	2677837
1798259	2241638
1909456	3421552
1805129	2515961
1802711	619996
715226	5411525
768065	3260476
1935139	1416500
1620	1768499
291985	2858586
1618626	627513
553207	2855988
1797718	694068
1434111	4139808
742767	3954365
1260361	2656402
1704290	6000000
413999	3903260
1414654	3819538
1860091	2569663
562970	3384766
28083	3737655
1797883	2714239
298654	6000000
1795629	3560129
283942	2839318
877424	3222863
1169855	5232338
1802623	944870
1797674	1468333
1802029	978947
1441737	2520807
1220589	4512819
1410622	2895073
1797618	1678903
1415756	3881122
1642949	3933945
317655	3373713
1069642	3988594
1288826	4033468
1797366	2927417
631454	4300776
1798334	674691
518766	3386737
1880991	5872787
1293045	4742254
1348663	6000000
1802117	840755
1903181	2141311
1544798	5992231
1929996	2437735
1619047	978289
926549	5168091
596154	5070751
1797251	848883
388467	5045869
765420	4373075
1635288	1774841
717605	4355525
1797969	2162045
1803469	1757384
744872	3239340
86103	2618934
1797921	2631312
1797965	1946950
1618348	1076678
83401	3497210
1797775	819866
438855	4335162
1123023	6000000
316330	6000000
1802646	778421
1233099	4308385
1220582	5293384
1189612	5036047
1619089	652879
158190	3590853
1122605	5927438
411684	4468465
657308	3608022
1797172	2568914
1400522	3246830
1513271	4549503
70996	6000000
1618838	1074186
69395	6000000
1190621	2153240
1735670	3715735
867845	4890986
673860	1437090
1618351	1084784
1134435	4171754
1736350	3871084
76936	1920832
1074889	590336
1218494	2020254
65093	4179170
1229780	4211496
1298895	928936
1748243	3763866
1429916	5085524
882083	5965593
1501391	2304821
1189621	3633701
557598	3169329
662755	2601311
1033736	3427329
1797795	1074601
1219058	3983415
1007109	1967776
676	4827724
1463156	4183635
376219	6000000
1802230	760812
1619129	770780
471852	5639016
1346791	4754053
1123037	3976448
936140	2498309
1797948	1650723
1333998	3475736
1618941	935829
1797986	648756
1432061	1362151
1121953	4253037
1802752	795918
113653	1770093
502682	2724951
688246	3388644
1123490	1870913
732234	5556502
639282	2542933
996821	4543171
1736457	6000000
1454010	3559280
1802618	621078
1618750	794606
1797679	1974319
1935124	1305425
1805319	619304
1304883	3627226
1150600	4687695
1121288	2982326
1618951	683418
1781242	1556618
1618397	636934
1798418	3918148
1427371	1105640
1389489	2686418
1076	6000000
1805402	567895
1449087	2676715
1121016	3957769
1434115	4066551
797209	4317540
1802538	964925
1287488	2797873
1432652	1881193
43263	4406305
1619080	1602776
54915	6000000
1121423	2622239
1278073	6000000
1035839	2143543
272943	4602977
1120946	2294128
1618492	809864
585057	5132068
446465	3614992
1220558	6000000
1227500	4111275
1803447	2301052
1802750	479148
1191523	3300414
1618975	1115935
1640685	2712841
1262132	2252356
519989	2943210
1111731	5735294
1410606	1232128
1805378	3039660
1437453	6000000
1676151	1445835
1133849	6000000
1805390	1451029
553973	3889859
1505597	773940
1765683	3034429
1234368	1106534
888050	2214851
1217668	3301256
1805415	854927
1618500	1196777
320787	6000000
1798385	1311063
1736353	3127470
553385	4049952
1122934	2443757
1576605	6000000
1619056	1082319
1802392	886499
1618920	805324
351627	2970275
1711	2354316
1122921	6000000
1205680	5792259
908809	2419359
1798213	6000000
269797	4873766
1262850	1909369
440497	1746219
136993	4824446
1581062	1914489
1618850	1259749
930138	2061411
1469245	3460162
325775	656901
1111735	4588530
1619092	629503
931089	3033893
1628279	1678166
1798460	1072735
1217799	1851576
1704032	1238975
1703426	2255062
388950	6000000
1357508	6000000
1618947	577627
1802559	824713
675635	6000000
1619057	1321605
1262794	2195284
942938	3358314
472569	2958880
1041147	6000000
1300159	5987311
1905359	6000000
1235813	3379354
1150368	5026272
1579346	5826065
1802300	725068
1158160	2803222
1618973	1135682
498761	3075407
1142511	719535
936599	4077007
1802546	519185
1087481	5771987
426117	6000000
1802659	707814
1798284	1811150
1246995	6000000
1121443	3359127
1550024	3951525
1799655	1314140
1121354	1960866
349124	2678452
1681196	4256263
535289	3796573
1797528	608236
1798555	904089
554083	3209563
1579316	4376120
1262991	2915815
1262964	3087525
693661	1901943
1798274	2398516
1798802	3040136
1817877	2493865
1158146	2659308
1798517	828269
373994	6000000
1262996	1456180
1613	6000000
1298861	3223982
1797651	4769172
525897	3942657
927655	2522962
1798704	1146634
161899	2830519
1007118	987278
1797390	2938171
1262891	2597868
425944	2748647
1331060	5360246
1353260	3430706
91464	5973558
1797941	1528275
1402860	6000000
1736569	2789653
1146883	4875340
1618574	1514276
1121388	5185168
1074451	1838358
1920419	3868181
1581420	2887216
1618403	629643
663278	3008576
1685135	1510195
1817739	977414
1834153	2366960
1123059	2769471
59922	2682675
314271	4536113
1802644	897158
1348634	3502678
1801922	887802
1896967	2966498
1122994	3043901
1335616	1904253
1797538	773774
1308978	3406510
1046982	2924052
400946	4362499
53254	5460905
1618587	853681
1137284	4189249
627192	4348133
1349758	2323905
59843	5897585
1495045	2608923
1619130	887205
1930001	2076509
394	6000000
1121392	6000000
83771	6000000
1120977	3299408
1798556	959512
1655575	1352430
1882735	4291352
1411123	4191297
1617428	957550
1798292	945778
224719	1998189
679896	2335113
944480	1749386
1408281	1588979
1453349	3260677
1798658	1279554
935849	4294957
190893	5732794
1121403	5800571
1618961	671846
1324350	3054269
1878942	2026595
1000562	1659203
1801629	2502434
1798707	708199
1120746	3737722
311458	1680938
1798328	652930
1497020	4331368
1802025	1321726
768671	5595540
1618719	657375
357808	5801598
1797341	4328922
1132504	2589840
1166018	6000000
1220510	2406624
1851544	4825741
755958	4399336
415747	3563632
1802637	897158
523846	1243342
1798455	762241
1336236	3587803
1552121	6000000
1121455	2741424
573370	5315620
1895903	3142726
330779	2225959
1201290	3233679
34007	5500748
1346290	4161309
1797917	2697712
374982	3298676
1262969	1674156
1896168	3801142
1729463	2330233
1805189	694682
1122919	5675308
186497	1908256
1286822	6000000
1897018	2314418
1671634	2938278
32057	6000000
1502293	1296717
1736318	6000000
882090	2052856
1352348	5892467
1232430	1509734
717960	1966750
755909	4341435
1218357	1168938
662475	4404932
644107	3523710
1692	1822476
1402135	4945295
1619061	1433016
643561	5482170
1127673	4842140
1798343	699563
1618597	533306
1508404	4119509
1798428	3818899
1408826	1177016
1121861	4304237
1262989	2550619
1797994	1713569
1805235	713886
332999	5803831
589865	3097763
1348338	2775399
236814	6000000
1798551	869668
1214101	6000000
1802562	878700
1802701	954071
1089553	2939057
717773	1932455
1802046	1222529
1678129	2948795
658445	5909413
1121922	6000000
340021	3431657
1123311	2416134
1798620	787844
40318	6000000
321327	2932766
1618897	938859
1262855	1201573
1802630	729680
1802687	680274
1802287	2599854
1129793	5239503
1513468	4652098
1123866	1250389
1802065	838272
1367847	4873118
1227549	4175922
1802767	690768
1347392	3196602
1799370	2503189
521010	1403443
1463825	6000000
1917880	5162116
340102	2121076
349741	2664102
1913577	2978889
1798664	1323466
1134912	4475912
747365	1898865
1470200	2397977
1122925	4804136
1781252	1085086
1485543	2823367
1801729	556503
521095	1543805
888742	2470575
1839807	1750840
1121891	3441043
366394	6000000
1935003	2362347
1128427	5632035
1623	2025875
1423794	1667627
1736488	5014917
1286364	4404964
944479	1714776
1797879	1272443
1811667	2717753
1618549	1358087
469371	4189976
1120967	5783376
1123501	4175892
1797339	3889010
710393	1635292
1088540	4323312
1797696	1638237
1801733	869879
667014	2322224
1230453	3952136
1219581	1955632
1935098	1318042
1798272	1855086
1933868	5842415
1255278	6000000
224911	6000000
698757	2452920
1231190	4992479
1254	2131361
568701	6000000
1069080	2085243
649764	2096289
1357399	1932823
1618695	608519
573061	5262222
1262837	1114050
1298851	1816670
1496722	3712078
70584	4592999
398511	4249248
1426	3873116
198467	2803668
862967	1996214
686831	4089562
484498	3859465
1801900	826567
926565	6000000
1112254	1172182
632773	3582268
874156	2835898
1798538	699981
1229276	4595883
1860157	1556477
71999	2854447
1094497	1802699
1139219	2822228
1104598	975853
1776294	1383621
1801961	1932364
443610	4465063
1150591	4434836
1130338	1313942
663321	2067400
1736483	3347721
1739479	2628118
1798681	1100898
1034943	4387007
721123	4755998
391597	3390271
1380354	4210445
1001595	4710917
1388761	2700546
1676614	3788330
1384049	4047197
1797699	1072912
1797676	2782668
178901	3833476
1121436	3553960
1072583	4208238
1120990	2300172
1619140	839128
1802677	1029476
939920	1693616
1122223	3190628
1165841	2125769
356829	2164426
1123016	4365123
1122603	4515285
1729466	4303623
1385996	2975051
583356	1875953
330734	3998597
395494	3162471
1294262	2519460
1703386	4668865
1772289	4604222
1801703	2933690
768066	4061296
1122620	2311610
574556	1206806
1236971	4538064
1200346	2967160
128403	6000000
487685	3107200
1655562	1214420
1724	2322762
728005	4519556
593117	2045438
1304886	5118755
232348	2686395
925409	3715967
877421	4092878
561230	4862913
1895921	3123620
314254	3172051
1353533	6000000
1653476	1814952
1123494	4304676
1415779	3653213
1619127	773748
1121926	5048579
1094755	2147644
1131272	842801
1455	4063862
1655621	1495089
675816	4698244
1347393	5025334
1817816	2065087
632335	2802443
1410574	1426691
1798327	814835
383372	5723298
1714256	1597398
1158144	2766100
1173026	5882710
137716	4936752
1412874	2876249
1678137	2753163
1232429	2672431
1797360	3345197
525337	2991737
1619008	860711
1797231	1431526
115713	1230230
1674903	4951698
1575	2653159
1335757	1926631
574349	3886483
36870	703004
1217715	3657694
1802611	520071
525254	2206675
1423731	2232918
1280946	3802763
1817844	797185
1801646	988700
1618849	773986
1802091	1202956
1618998	915589
1751286	6000000
1432656	1920914
1262840	1261691
1774273	3809314
1705390	3255637
112248	3844441
886379	4324239
1304875	2105968
1245	5659209
888059	2548422
32049	3409935
1423810	4123151
1736351	3801380
221027	2800562
1476973	3583479
1803372	5213657
1616788	5354277
83406	4587455
859653	1343202
1866913	2149125
246197	6000000
768672	1384116
1798655	542913
936573	2336249
1674820	2192979
1802497	1173957
1342299	4229467
1038860	6000000
1618699	1141452
1121946	6000000
1649580	3982201
1802037	1065979
1797281	970698
1428425	1903774
1009370	4323011
1006006	1840348
867904	2714013
1123237	5689389
1736301	3733197
1805004	1474363
1123354	2220236
1655570	1091054
1802384	1011606
873449	2418558
1234381	4280700
592026	3479204
1121871	1869643
1009711	436570
1578720	1578404
1802207	821145
1805219	3187983
1379303	2317901
100480	5391770
558173	2698995
1311576	1766700
1284	2472129
588581	4915287
1524460	6000000
1797533	834980
1802755	663776
336831	4127744
1027271	1629655
693973	5368767
1805377	2030295
1618721	978783
1423821	1680526
60520	1809771
697303	2785056
1407055	1636125
1236608	1863286
697282	4848329
1234555	3344933
1802746	806462
580033	1517949
1262987	1709120
1122621	5053571
1798634	818109
387093	2562277
1220578	5693518
1075768	6000000
1895840	4839047
1935105	1763844
1216007	4008085
1201293	4889582
1797791	850234
1075090	5306375
1437425	2969604
1802399	979332
1410626	3373099
1235798	6000000
1710890	6000000
1618363	1009164
1123233	2554929
1817890	5337885
1801641	608150
441103	4459382
1841598	5684038
913865	5702338
1715806	3268085
1122213	3539530
445971	2284703
1163748	3989480
1618651	707203
1801825	2636838
78245	5625098
1802575	1705812
167555	1864731
1408306	4362523
1802421	882956
1930014	1015310
333140	4481099
1870991	2985330
1304874	3223212
66875	6000000
1499968	5631423
768670	2216552
1280663	3711555
867903	2888741
1736525	3867359
573497	6000000
1305734	4402495
306263	1571661
1123249	2350599
1896	6000000
271420	4607758
717785	4757528
454136	6000000
1122172	2144606
1868283	1907665
221288	6000000
1619064	1035436
477680	6000000
137838	4710844
1477105	6000000
226505	4978503
1004326	4811405
953739	6000000
1612624	6000000
1655613	1029940
1214564	2378643
634497	3890005
1112250	1169374
1081736	2817512
1797958	1929367
1132444	3912050
1802581	1668697
1802201	687235
1094560	2015681
1293575	1767001
1263868	6000000
1801695	1369857
1428620	6000000
796334	4744408
1437603	2170490
1618481	962621
386415	2547720
1009417	2641408
1817738	1012319
1121085	4418137
595434	6000000
1347366	3732966
1434118	5427890
1123360	3682761
690850	4200534
1798610	1115365
1881057	3195637
1802565	1330415
1269275	1506545
1798476	725964
1798671	1005716
1797307	608915
517417	2289249
135735	5313985
1618365	859050
1618331	861834
930129	4643995
1471498	907618
1618520	1076430
1262970	1508874
1935118	1817752
857087	5051681
1164990	5488377
887062	3618708
1798693	962267
81408	3949593
1802688	599649
1798670	755293
1229908	1639964
546269	1931012
1618820	1244279
1009420	3346464
1605367	4474039
910047	2290285
1144253	4537217
645512	1790058
1797840	3825374
1238425	3594539
1801625	2440679
1723647	2560150
1046714	3910429
1244869	4870514
1227454	3688747
1631356	4464286
202	1751734
1382358	3363999
1802362	865335
1265507	3964271
1618774	788514
755932	4360492
1867952	3687561
1797667	1536042
945713	3658997
1002672	1284727
857577	1814430
1802709	797547
926561	3459766
604331	2747076
1528099	3775705
1618374	959638
1408319	3476318
1261131	1195201
540906	4021020
180332	6000000
1802594	827425
1400863	4084870
205920	1176248
1752193	6000000
351605	5136364
1033732	4017609
545696	3932923
1263034	2721828
1123294	4623171
1729724	4522705
1229831	1048269
1503	3397304
1122124	2624474
85698	6000000
1797901	2753654
880071	4919337
1811589	980468
1410623	2440715
1618485	1019220
1802508	1047494
765874	2337913
1655626	1907425
1520802	3242047
1801652	1081183
887326	2122126
1839936	1456963
759362	3277101
1801955	1650346
1202785	2210643
1206782	1444107
32052	2661166
1619048	757774
68170	6000000
1704281	2624952
376619	3788171
1802491	840001
1274722	5272860
467705	2196662
1294024	2222169
1048260	2406157
529086	3968450
1802142	793886
247634	4326936
263474	4836444
1262932	2544236
1817892	1443902
1293910	1401647
1671641	2204711
318464	3717420
1637501	2054369
1200557	2780749
1294123	1506462
1798366	757524
1080228	3570004
1147128	2167304
1408857	1106750
243276	1138011
522373	4851126
939568	1057534
390640	3261465
1686287	1621211
1366046	3098747
1736333	3961764
999894	2119932
1797997	885981
388401	3582902
2177	4049521
1802045	869865
1441732	2458422
1912795	2207832
1640512	1358434
758823	3030228
1265505	6000000
1674847	1439312
755927	4399142
645127	2446804
28141	4663565
1618405	954236
1121476	4034121
215803	6000000
1618521	707442
1781255	6000000
301302	3567818
1618441	1325052
1410609	2869490
1679444	6000000
1609232	1691324
1293907	1417443
1801716	1156351
547042	4041504
1122610	4060447
1227493	4159606
1121948	3208823
1797864	1706382
1618496	958668
1380371	3718149
1629124	6000000
1658111	3497276
1618997	1252137
1671655	2888227
1797932	1359521
1802391	958782
1797852	2239633
1157632	6000000
1094489	1596490
444461	3318479
237018	5119527
1801612	4399495
1802413	1069357
1111729	2917684
935840	4700340
1504316	856461
1802661	799807
1817833	880149
1074143	1794749
1400799	2665688
254945	1516355
446469	4253413
1121011	4989751
1720195	3397023
1120652	6000000
1338011	4369828
167556	1754063
1122170	3580227
1802136	1173572
1399798	6000000
1798325	837139
1797871	1614986
1618783	780124
1618926	1032611
1122158	3785435
365659	2146611
1802531	879897
359	6000000
617001	4634603
1121267	1871412
1293588	2774183
1802484	1113300
1232659	3887653
74426	4422717
1286528	884232
545697	3553721
1826909	3999136
1619081	1066294
266834	6000000
1123247	3554982
1392497	3023790
1798632	851565
1618494	824487
529507	4099895
1655581	1121384
1736550	3575694
1538644	5329010
1703361	1357456
323261	3522111
891391	2097766
1736486	6000000
1121941	3464094
1385368	6000000
504798	6000000
1618815	728949
1122931	6000000
1263108	2363514
1618736	461027
1618735	708509
428125	3270209
796937	2325163
839	6000000
1552123	3436956
1617024	3634690
1801787	757441
1134457	4849611
1158614	4179913
1367451	6000000
487797	1515248
1811588	870512
1802722	776001
930945	2522992
446471	3831380
1891926	6000000
79929	1639135
1394889	2520064
859192	1855559
575606	1639455
1232394	1886888
1415778	2474654
1802587	1695776
1499500	1752482
266779	4935185
1247726	4764126
1703	6000000
580340	1999646
1798316	4280425
653940	2321308
1884381	5800699
1471475	901033
1265	3642793
1408416	1430451
336261	1002281
1655614	1030921
1802410	667850
1802705	631294
323097	5011522
1321368	4965572
1855401	4154490
1382798	4020819
700508	5421267
391606	2391417
1263015	2511147
1802525	935143
755961	4453871
1123301	1877438
1262849	2001957
1811594	1606484
1618641	1379854
561175	6000000
1635281	1407079
1007105	3924810
1378168	3704572
1432059	1486678
1136179	6000000
941770	1373326
1122189	3961631
1618726	1137406
1268635	2773209
1643676	1092295
1502764	6000000
1618847	645285
1130285	1085321
1817875	1318182
1618960	921119
1029718	1620005
216432	2952962
1123514	2552883
1763536	6000000
1798436	3073191
1802043	708812
1737893	3046979
1223528	2975997
1163730	1319206
1801789	509331
1030842	3454940
1911907	1000920
1379702	2029766
1121430	2654868
105219	6000000
1107311	3387090
1229521	4027646
37692	601943
1121368	2261008
1619000	1025655
1736612	4415595
1122138	6000000
1736393	3637840
1635259	1972267
1443111	3976672
1081640	4124388
1769291	1768580
1896996	1487884
1293648	1747364
1650571	5542997
1798453	4405326
1197477	2670033
314724	917330
1123392	3609948
1798696	814391
1121938	3845569
1797700	749956
398767	3994874
1076588	3153637
146891	1669886
1881055	3801938
1930011	2356532
1080229	3570103
1797383	3734646
1703767	543780
1842537	4674684
59920	1842899
1851429	3026655
487316	3636349
1674858	2611409
1811630	3353950
1122926	5247653
35817	1638988
796943	2470863
351016	4178704
441119	4543020
665792	5645302
669502	464857
1448389	4709534
174145	619851
321267	4001860
1817743	1210108
1811641	3167234
360107	1714951
1121256	2760766
1618610	676385
1262959	2206392
1121093	5411691
1801855	764338
555217	2143461
1446475	3554760
1871022	2009306
1935102	1893129
1661699	1570967
981324	5026532
658167	5641410
216946	1261374
742723	2219029
1111134	1925975
1121865	2583038
397291	6000000
1881041	6000000
1798529	781479
663610	3971247
883066	2032016
29343	2229578
384616	1826402
1705110	6000000
1236703	1015921
1294265	4364535
1123025	6000000
1618931	850953
323098	3402093
47763	6000000
1471439	934681
1382301	3414633
1262835	1979971
1736378	3908067
1247743	1505418
411463	2870795
1112230	1211664
1703411	4010441
1811614	2411549
1860085	3755514
1943	6000000
1074173	1879409
29422	3750738
406100	4037907
992023	1650078
525373	5093512
1803464	4577825
45070	3649429
1801644	899105
999413	4803668
570268	6000000
1560235	5248051
693978	2164087
1797603	1258484
1302613	748241
1671626	2048170
548477	2809149
1496	4293049
1163617	3217213
569882	4088599
1120965	4152949
1121422	3471050
1205681	2158445
888064	2415788
1797755	1153595
1618946	832851
1703779	2532789
1009709	1995180
1655590	1601779
1802412	702475
1381596	3815107
1600	1704859
1803429	1973337
263475	4758570
638302	2166063
1246461	5209552
1353158	2314846
1766719	1302428
1801746	774829
183762	2200216
1238190	2847098
136273	3779802
1236513	4782583
520764	2439065
1797938	2300804
69222	4640069
1798330	840825
1572751	3482341
1520807	4799342
857290	1550817
1144888	1417115
1408415	1282372
69042	3280236
1618826	971252
1805307	692593
1111479	3398558
39960	3251353
1046625	3184320
888727	1739380
1772274	5148113
530564	6000000
1306174	6000000
1463833	6000000
470826	2973500
1797739	799405
1112216	4760413
882085	4030889
526218	4486650
1802243	1636743
1208599	5443019
762983	2306546
1764958	3189707
624147	6000000
1734395	3853576
1798492	825933
1618360	998151
1618976	610782
1755240	6000000
1817846	653542
1802457	526072
1738638	6000000
67373	6000000
1802006	3474931
670487	2439291
890420	3287116
1260356	2933038
1219361	5646340
420246	3608012
327095	2790392
1797321	3661486
1262885	2618909
392499	5915246
1079	3724841
1864608	1894170
1798666	1222224
1262751	2634773
1802577	1650790
402777	6000000
529823	4595379
1403329	2916187
1740263	3719297
1918499	2687785
1219035	4291514
485917	6000000
76636	3451363
1122197	3830061
1661713	1221161
1121920	3289813
1618576	552476
765913	5524189
1408825	1205961
1437605	1830060
177437	5657782
1401065	2492199
1618914	755799
863921	3746057
1123024	5056835
883121	5735978
1122951	2424065
445974	3235195
1476577	705138
1280676	4254596
515897	2650984
1817749	1083413
1418105	6000000
1278304	1453539
1048339	5500153
1410621	3554992
1618392	860944
1618888	754948
1415551	6000000
1802533	583907
1408189	2769745
983544	3296168
239935	2557614
1674864	2834709
485602	6000000
1896997	1893690
1265738	6000000
1120947	2338426
1121862	5545668
1798382	1553119
1797354	3521784
1236179	4726850
1114970	6000000
1671646	2067643
1105112	1278719
1802083	1216931
1121441	3909169
1123322	6000000
797210	4355268
1408320	2760118
857293	2638447
1423729	1919106
1208923	820037
710685	6000000
1450526	2853560
568899	3619097
1805079	946456
1797229	1451781
882081	4763852
1123488	2022936
1712675	2622031
1802311	783811
1046581	1146066
1231623	3506749
1301084	4694667
1797472	960706
1658671	3525271
1618566	860025
1692501	6000000
1797789	637627
1674838	2836332
98439	5438272
1168065	4307745
1249972	4031126
869212	4409302
1266845	2497115
1619072	1109710
667137	1660504
629773	3185459
1262879	2653983
548476	2819226
1811629	2120850
1797770	830245
1173111	3808945
1408324	4255528
1120963	4341282
1705392	2829483
865861	3216692
1811608	1151495
1619134	835093
187272	3275944
285983	3899987
493475	5964456
479437	3632260
1381123	4143240
1797623	2487961
34097	1501400
1262887	2833000
1449064	5913251
1618981	911173
1265510	1158414
1341151	3324316
1122240	4039307
311424	1413462
1798672	992300
585529	2349953
1618930	1245242
1736600	5139111
375286	4110251
571915	3474226
1122137	4082245
1262920	2952552
929557	1171629
1547444	5248795
1703423	1101969
760570	2153652
1035195	2809576
1713	4028666
1798683	935985
928856	4175618
1801892	787698
525263	2385784
167552	1752772
1182568	2971983
1798589	849851
1359151	1516523
1392507	1545197
932039	778696
1805147	635779
856854	3127363
1051651	3215878
1798621	725899
1798490	904852
187420	1751377
1280672	5126371
1423755	1667319
1105110	1323280
589873	4308833
1122946	5088373
1801672	552629
1223515	2681312
1686296	4261367
28072	6000000
1935014	921100
1121087	3519702
1123277	6000000
48664	4282698
1801921	1126856
1107880	2017261
877415	3148938
